"Week","Year_Tank","Abundance","scAbundance","Recipient"
8,"2018_Fipro2",125,0.0199273333313629,"Phytopla1"
10,"2018_Fipro2",55,-0.281103117090511,"Phytopla1"
12,"2018_Fipro2",320,0.367073603667519,"Phytopla1"
14,"2018_Fipro2",98,-0.0695959340676248,"Phytopla1"
16,"2018_Fipro2",155,0.0992095037641639,"Phytopla1"
18,"2018_Fipro2",60,-0.24935589904841,"Phytopla1"
20,"2018_Fipro2",10,-0.885241338526306,"Phytopla1"
NA,"2018_Fipro2",NA,NA,"Phytopla1"
2,"2018_Pent1",58000,2.29620056106303,"Phytopla1"
4,"2018_Pent1",3644,1.2690067130541,"Phytopla1"
6,"2018_Pent1",740,0.677618060768586,"Phytopla1"
8,"2018_Pent1",246,0.269795358539246,"Phytopla1"
10,"2018_Pent1",327,0.37508166012282,"Phytopla1"
12,"2018_Pent1",60,-0.24935589904841,"Phytopla1"
14,"2018_Pent1",33,-0.466336732128557,"Phytopla1"
16,"2018_Pent1",49,-0.323172563389926,"Phytopla1"
18,"2018_Pent1",73,-0.177640181062141,"Phytopla1"
20,"2018_Pent1",22,-0.611432646186096,"Phytopla1"
NA,"2018_Pent1",NA,NA,"Phytopla1"
2,"2018_Pent2",15,-0.746149052161946,"Phytopla1"
4,"2018_Pent2",701,0.657547431204441,"Phytopla1"
6,"2018_Pent2",104,-0.0477533860027655,"Phytopla1"
8,"2018_Pent2",2321,1.10161511713715,"Phytopla1"
10,"2018_Pent2",186,0.166493412562295,"Phytopla1"
12,"2018_Pent2",152,0.0920011953117205,"Phytopla1"
14,"2018_Pent2",35,-0.445118601740073,"Phytopla1"
16,"2018_Pent2",7,-1.00345652918035,"Phytopla1"
18,"2018_Pent2",59,-0.255491844055798,"Phytopla1"
20,"2018_Pent2",18,-0.682355449194331,"Phytopla1"
NA,"2018_Pent2",NA,NA,"Phytopla1"
2,"2018_Joint1",3047,1.20260699747949,"Phytopla1"
4,"2018_Joint1",3431,1.24665460249182,"Phytopla1"
6,"2018_Joint1",1761,0.999167103595716,"Phytopla1"
8,"2018_Joint1",3,-1.26076400619875,"Phytopla1"
10,"2018_Joint1",2,-1.36755625800622,"Phytopla1"
12,"2018_Joint1",18,-0.682355449194331,"Phytopla1"
14,"2018_Joint1",0,-1.77537896023556,"Phytopla1"
16,"2018_Joint1",8,-0.95973355577688,"Phytopla1"
18,"2018_Joint1",1,-1.51807148321716,"Phytopla1"
20,"2018_Joint1",0,-1.77537896023556,"Phytopla1"
NA,"2018_Joint1",NA,NA,"Phytopla1"
2,"2018_Joint2",1096,0.823258744390624,"Phytopla1"
4,"2018_Joint2",127,0.0257733788932644,"Phytopla1"
6,"2018_Joint2",118,-0.00129079705712099,"Phytopla1"
8,"2018_Joint2",40,-0.396840770932391,"Phytopla1"
10,"2018_Joint2",18,-0.682355449194331,"Phytopla1"
12,"2018_Joint2",38,-0.415405450272643,"Phytopla1"
14,"2018_Joint2",3,-1.26076400619875,"Phytopla1"
16,"2018_Joint2",0,-1.77537896023556,"Phytopla1"
18,"2018_Joint2",1,-1.51807148321716,"Phytopla1"
20,"2018_Joint2",1,-1.51807148321716,"Phytopla1"
NA,"2018_Joint2",NA,NA,"Phytopla1"
2,"2019_Cont1",202,0.196969285113908,"Phytopla1"
4,"2019_Cont1",25,-0.56592067548358,"Phytopla1"
6,"2019_Cont1",452,0.494939403107571,"Phytopla1"
8,"2019_Cont1",329,0.377338300635054,"Phytopla1"
10,"2019_Cont1",1256,0.873799368244638,"Phytopla1"
12,"2019_Cont1",165,0.122273828755559,"Phytopla1"
14,"2019_Cont1",269,0.30284608338448,"Phytopla1"
16,"2019_Cont1",616,0.60963663974035,"Phytopla1"
18,"2019_Cont1",1838,1.01504491901221,"Phytopla1"
20,"2019_Cont1",128,0.0286622356600632,"Phytopla1"
NA,"2019_Cont1",NA,NA,"Phytopla1"
2,"2019_Cont2",53,-0.294603376529136,"Phytopla1"
4,"2019_Cont2",93,-0.0888342399174326,"Phytopla1"
6,"2019_Cont2",69,-0.198268611213702,"Phytopla1"
8,"2019_Cont2",5,-1.11024878098782,"Phytopla1"
10,"2019_Cont2",1,-1.51807148321716,"Phytopla1"
12,"2019_Cont2",15,-0.746149052161946,"Phytopla1"
14,"2019_Cont2",74,-0.172657338178989,"Phytopla1"
16,"2019_Cont2",188,0.1704425585423,"Phytopla1"
18,"2019_Cont2",190,0.174350133792837,"Phytopla1"
20,"2019_Cont2",110,-0.0271249558512041,"Phytopla1"
NA,"2019_Cont2",NA,NA,"Phytopla1"
2,"2019_Fipro1",450,0.493296850776864,"Phytopla1"
4,"2019_Fipro1",247,0.271295224099181,"Phytopla1"
6,"2019_Fipro1",0,-1.77537896023556,"Phytopla1"
8,"2019_Fipro1",0,-1.77537896023556,"Phytopla1"
10,"2019_Fipro1",20,-0.645202845916381,"Phytopla1"
12,"2019_Fipro1",0,-1.77537896023556,"Phytopla1"
14,"2019_Fipro1",114,-0.0139831862724803,"Phytopla1"
16,"2019_Fipro1",157,0.103938436773478,"Phytopla1"
18,"2019_Fipro1",399,0.448749867665285,"Phytopla1"
20,"2019_Fipro1",116,-0.00758274804330284,"Phytopla1"
NA,"2019_Fipro1",NA,NA,"Phytopla1"
2,"2019_Fipro2",88273,2.45210593995537,"Phytopla1"
4,"2019_Fipro2",794,0.70372996263316,"Phytopla1"
6,"2019_Fipro2",1142,0.838507268653618,"Phytopla1"
8,"2019_Fipro2",2,-1.36755625800622,"Phytopla1"
10,"2019_Fipro2",29,-0.512799321074201,"Phytopla1"
12,"2019_Fipro2",44,-0.362284095863264,"Phytopla1"
14,"2019_Fipro2",94,-0.0849059892807153,"Phytopla1"
16,"2019_Fipro2",647,0.627834279737012,"Phytopla1"
18,"2019_Fipro2",29,-0.512799321074201,"Phytopla1"
20,"2019_Fipro2",110,-0.0271249558512041,"Phytopla1"
NA,"2019_Fipro2",NA,NA,"Phytopla1"
2,"2019_Pent1",230,0.244934775792874,"Phytopla1"
4,"2019_Pent1",27,-0.538410594108914,"Phytopla1"
6,"2019_Pent1",160,0.110920765903743,"Phytopla1"
8,"2019_Pent1",17,-0.702426078758476,"Phytopla1"
10,"2019_Pent1",14,-0.770106798092605,"Phytopla1"
12,"2019_Pent1",91,-0.0968176921492887,"Phytopla1"
14,"2019_Pent1",147,0.0796672959562627,"Phytopla1"
16,"2019_Pent1",177,0.148183147748537,"Phytopla1"
18,"2019_Pent1",246,0.269795358539246,"Phytopla1"
20,"2019_Pent1",54,-0.28779187861269,"Phytopla1"
NA,"2019_Pent1",NA,NA,"Phytopla1"
2,"2019_Pent2",208,0.207782172514924,"Phytopla1"
4,"2019_Pent2",31,-0.488841575143543,"Phytopla1"
6,"2019_Pent2",285,0.324216946225675,"Phytopla1"
8,"2019_Pent2",0,-1.77537896023556,"Phytopla1"
10,"2019_Pent2",0,-1.77537896023556,"Phytopla1"
12,"2019_Pent2",26,-0.55191085354754,"Phytopla1"
14,"2019_Pent2",84,-0.126194749233345,"Phytopla1"
16,"2019_Pent2",94,-0.0849059892807153,"Phytopla1"
18,"2019_Pent2",111,-0.0237956400721072,"Phytopla1"
20,"2019_Pent2",116,-0.00758274804330284,"Phytopla1"
NA,"2019_Pent2",NA,NA,"Phytopla1"
2,"2019_Joint1",560,0.574316114791635,"Phytopla1"
4,"2019_Joint1",17,-0.702426078758476,"Phytopla1"
6,"2019_Joint1",27,-0.538410594108914,"Phytopla1"
8,"2019_Joint1",0,-1.77537896023556,"Phytopla1"
10,"2019_Joint1",0,-1.77537896023556,"Phytopla1"
